franchise,kpg,year
SPADOTFRT,40.54982818,1971
SPADOTFRT,35.05154639,1970
SPADOTFRT,19.93127148,2002
SPADOTFRT,100,1977
SPADOTFRT,32.3024055,2000
SPADOTFRT,9.621993127,2006
SPADOTFRT,6.872852234,2007
SPADOTFRT,14.7766323,2004
SPADOTFRT,86.59793814,1979
SPADOTFRT,5.154639175,2008
SPADOTFRT,3.436426117,2009
SPPOPDPND,38.26086957,1976
SPPOPDPND,37.39130435,2003
SPPOPDPND,23.47826087,1962
SPPOPDPND,23.47826087,1963
SPPOPDPND,26.95652174,1974
SPPOPDPND,96.52173913,1986
SPPOPDPND,98.26086957,1987
SPPOPDPND,91.30434783,1984
SPPOPDPND,93.91304348,1985
SPPOPDPND,84.34782609,1982
SPPOPDPND,87.82608696,1983
SPPOPDPND,73.04347826,1980
SPPOPDPND,79.13043478,1981
SPPOPDPND,23.47826087,1964
SPPOPDPND,23.47826087,1965
SPPOPDPND,22.60869565,1966
SPPOPDPND,21.73913043,1967
SPPOPDPND,20.86956522,1960
SPPOPDPND,22.60869565,1961
SPPOPDPND,100,1988
SPPOPDPND,100,1989
SPPOPDPND,48.69565217,2001
SPPOPDPND,0,2011
SPPOPDPND,2.608695652,2010
SPPOPDPND,0,2012
SPPOPDPND,25.2173913,2005
SPPOPDPND,21.73913043,1968
SPPOPDPND,20.86956522,1969
SPPOPDPND,94.7826087,1991
SPPOPDPND,98.26086957,1990
SPPOPDPND,83.47826087,1993
SPPOPDPND,89.56521739,1992
SPPOPDPND,73.04347826,1995
SPPOPDPND,78.26086957,1994
SPPOPDPND,65.2173913,1997
SPPOPDPND,68.69565217,1996
SPPOPDPND,58.26086957,1999
SPPOPDPND,62.60869565,1998
SPPOPDPND,31.30434783,1975
SPPOPDPND,56.52173913,1978
SPPOPDPND,23.47826087,1973
SPPOPDPND,22.60869565,1972
SPPOPDPND,21.73913043,1971
SPPOPDPND,20.86956522,1970
SPPOPDPND,43.47826087,2002
SPPOPDPND,46.95652174,1977
SPPOPDPND,53.91304348,2000
SPPOPDPND,20,2006
SPPOPDPND,14.7826087,2007
SPPOPDPND,31.30434783,2004
SPPOPDPND,65.2173913,1979
SPPOPDPND,10.43478261,2008
SPPOPDPND,6.086956522,2009
SPPOPDPNDOL,46.36015326,1976
SPPOPDPNDOL,93.61430396,2003
SPPOPDPNDOL,5.747126437,1962
SPPOPDPNDOL,8.429118774,1963
SPPOPDPNDOL,39.97445722,1974
SPPOPDPNDOL,71.90293742,1986
SPPOPDPNDOL,74.45721584,1987
SPPOPDPNDOL,68.0715198,1984
SPPOPDPNDOL,70.62579821,1985
SPPOPDPNDOL,64.24010217,1982
SPPOPDPNDOL,65.51724138,1983
SPPOPDPNDOL,59.13154534,1980
SPPOPDPNDOL,61.68582375,1981
SPPOPDPNDOL,11.23882503,1964
SPPOPDPNDOL,14.04853129,1965
SPPOPDPNDOL,16.98595147,1966
SPPOPDPNDOL,19.54022989,1967
SPPOPDPNDOL,0,1960
SPPOPDPNDOL,2.937420179,1961
SPPOPDPNDOL,75.73435504,1988
SPPOPDPNDOL,78.28863346,1989
SPPOPDPNDOL,92.33716475,2001
SPPOPDPNDOL,100,2011
SPPOPDPNDOL,98.72286079,2010
SPPOPDPNDOL,0,2012
SPPOPDPNDOL,93.61430396,2005
SPPOPDPNDOL,23.37164751,1968
SPPOPDPNDOL,25.92592593,1969
SPPOPDPNDOL,82.12005109,1991
SPPOPDPNDOL,79.56577267,1990
SPPOPDPNDOL,84.6743295,1993
SPPOPDPNDOL,83.39719029,1992
SPPOPDPNDOL,87.22860792,1995
SPPOPDPNDOL,85.95146871,1994
SPPOPDPNDOL,89.78288633,1997
SPPOPDPNDOL,88.50574713,1996
SPPOPDPNDOL,91.06002554,1999
SPPOPDPNDOL,91.06002554,1998
SPPOPDPNDOL,42.52873563,1975
SPPOPDPNDOL,52.7458493,1978
SPPOPDPNDOL,37.4201788,1973
SPPOPDPNDOL,34.86590038,1972
SPPOPDPNDOL,31.03448276,1971
SPPOPDPNDOL,28.48020434,1970
SPPOPDPNDOL,93.61430396,2002
SPPOPDPNDOL,48.91443167,1977
SPPOPDPNDOL,92.33716475,2000
SPPOPDPNDOL,94.89144317,2006
SPPOPDPNDOL,94.89144317,2007
SPPOPDPNDOL,93.61430396,2004
SPPOPDPNDOL,55.30012771,1979
SPPOPDPNDOL,96.16858238,2008
SPPOPDPNDOL,97.44572158,2009
SPPOPDPNDYG,64.92537313,1976
SPPOPDPNDYG,35.82089552,2003
SPPOPDPNDYG,75.37313433,1962
SPPOPDPNDYG,73.88059701,1963
SPPOPDPNDYG,58.20895522,1974
SPPOPDPNDYG,99.25373134,1986
SPPOPDPNDYG,100,1987
