country,value,year
MYS,9.40E+01,1969
MEX,1.01E+02,1969
PHL,9.73E+01,1969
RUS,5.24E+01,1969
ZAF,8.38E+01,1969
LKA,7.96E+01,1969
THA,9.10E+01,1969
TUR,8.62E+01,1969
GBR,5.83E+01,1969
USA,6.25E+01,1969
ARG,5.71E+01,1970
BRA,8.54E+01,1970
CHL,8.11E+01,1970
CHN,7.93E+01,1970
EGY,8.58E+01,1970
DEU,5.84E+01,1970
HKG,6.95E+01,1970
IND,8.00E+01,1970
IDN,8.70E+01,1970
JPN,4.53E+01,1970
KOR,8.33E+01,1970
MYS,9.25E+01,1970
MEX,1.01E+02,1970
PHL,9.60E+01,1970
RUS,5.13E+01,1970
ZAF,8.35E+01,1970
LKA,7.85E+01,1970
THA,9.07E+01,1970
TUR,8.54E+01,1970
GBR,5.90E+01,1970
USA,6.14E+01,1970
ARG,5.72E+01,1971
BRA,8.43E+01,1971
CHL,8.00E+01,1971
CHN,7.94E+01,1971
EGY,8.54E+01,1971
DEU,5.85E+01,1971
HKG,6.76E+01,1971
IND,7.95E+01,1971
IDN,8.71E+01,1971
JPN,4.55E+01,1971
KOR,8.13E+01,1971
MYS,9.12E+01,1971
MEX,1.01E+02,1971
PHL,9.49E+01,1971
RUS,5.02E+01,1971
ZAF,8.33E+01,1971
LKA,7.71E+01,1971
THA,9.01E+01,1971
TUR,8.47E+01,1971
GBR,5.95E+01,1971
USA,6.02E+01,1971
ARG,5.73E+01,1972
BRA,8.31E+01,1972
CHL,7.86E+01,1972
CHN,7.97E+01,1972
EGY,8.48E+01,1972
DEU,5.85E+01,1972
HKG,6.56E+01,1972
IND,7.90E+01,1972
IDN,8.68E+01,1972
JPN,4.60E+01,1972
KOR,7.89E+01,1972
MYS,8.99E+01,1972
MEX,1.01E+02,1972
PHL,9.38E+01,1972
RUS,4.92E+01,1972
ZAF,8.30E+01,1972
LKA,7.57E+01,1972
THA,8.92E+01,1972
TUR,8.42E+01,1972
GBR,5.98E+01,1972
