indicator,value,year
SESECDURS,1,1963
SESECAGES,1,1963
AGSRFTOTLK2,1,1963
SPDYNTO65FEZS,6.557377049,1963
SPDYNTO65MAZS,2.824858757,1963
ITMLTMAIN,1.74486235,1963
ITMLTMAINP2,1.758631817,1963
SPURBTOTL,18.82352941,1963
SPURBTOTLINZS,12,1963
SPURBGROW,89.64677223,1963
NYADJDNGYCD,0.006919598,1964
NYADJDMINCD,8.474916359,1964
SPADOTFRT,90.72608007,1964
SPPOPDPND,67.10526316,1964
SPPOPDPNDOL,12.08053691,1964
SPPOPDPNDYG,86.30952381,1964
SPDYNCBRTIN,99,1964
AGPRDCROPXD,58.87077653,1964
SPDYNCDRTIN,60.71428571,1964
SPDYNTFRTIN,100,1964
AGPRDFOODXD,24.84563671,1964
AGLNDTOTLK2,1,1964
SPDYNLE00FEIN,8.035714286,1964
SPDYNLE00MAIN,4.310344828,1964
SPDYNLE00IN,6.140350877,1964
AGPRDLVSKXD,13.99153119,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,25.77319588,1964
SPPOP0014TOZS,92.07920792,1964
SPPOP1564TOZS,29.85074627,1964
SPPOP65UPTOZS,8.333333333,1964
ENPOPDNST,26.74610087,1964
SPPOPGROW,91.0701107,1964
ENURBLCTY,46.51162791,1964
ENURBLCTYURZS,68.8172043,1964
SPPOPTOTLFEZS,80.76923077,1964
SEPRMDURS,1,1964
SEPRMAGES,1,1964
SPRURTOTL,30.76923077,1964
SPRURTOTLZS,84,1964
SESECDURS,1,1964
SESECAGES,1,1964
AGSRFTOTLK2,1,1964
SPDYNTO65FEZS,9.016393443,1964
SPDYNTO65MAZS,3.389830508,1964
ITMLTMAIN,2.42341993,1964
ITMLTMAINP2,2.436269764,1964
SPURBTOTL,24.70588235,1964
SPURBTOTLINZS,16,1964
SPURBGROW,81.97320341,1964
NYADJDNGYCD,0.015411131,1965
NYADJDMINCD,8.384686248,1965
SPADOTFRT,93.89278444,1965
SPPOPDPND,75.65789474,1965
SPPOPDPNDOL,14.76510067,1965
SPPOPDPNDYG,91.07142857,1965
SPDYNCBRTIN,93,1965
AGPRDCROPXD,41.82239375,1965
SPDYNCDRTIN,75,1965
SPDYNTFRTIN,96.92307692,1965
AGPRDFOODXD,19.80735537,1965
AGLNDTOTLK2,1,1965
SPDYNLE00FEIN,8.928571429,1965
SPDYNLE00MAIN,5.172413793,1965
SPDYNLE00IN,7.894736842,1965
AGPRDLVSKXD,16.18156165,1965
ITCELSETS,0,1965
ITCELSETSP2,0,1965
SPPOPTOTL,32.98969072,1965
SPPOP0014TOZS,96.03960396,1965
SPPOP1564TOZS,22.3880597,1965
SPPOP65UPTOZS,10.41666667,1965
ENPOPDNST,33.72266269,1965
SPPOPGROW,94.61254613,1965
ENURBLCTY,44.18604651,1965
ENURBLCTYURZS,61.29032258,1965
SPPOPTOTLFEZS,76.92307692,1965
SEPRMDURS,1,1965
SEPRMAGES,1,1965
SPRURTOTL,38.46153846,1965
SPRURTOTLZS,76,1965
SESECDURS,1,1965
SESECAGES,1,1965
AGSRFTOTLK2,1,1965
SPDYNTO65FEZS,10.6557377,1965
SPDYNTO65MAZS,4.519774011,1965
ITMLTMAIN,3.005040713,1965
ITMLTMAINP2,2.984833817,1965
SPURBTOTL,31.76470588,1965
SPURBTOTLINZS,24,1965
SPURBGROW,84.77466504,1965
NYADJDNGYCD,0.033855041,1966
NYADJDMINCD,8.295416794,1966
SPADOTFRT,96.83329563,1966
SPPOPDPND,82.23684211,1966
SPPOPDPNDOL,18.12080537,1966
SPPOPDPNDYG,94.64285714,1966
SPDYNCBRTIN,91,1966
AGPRDCROPXD,54.60868084,1966
SPDYNCDRTIN,71.42857143,1966
SPDYNTFRTIN,99.23076923,1966
AGPRDFOODXD,29.88391804,1966
AGLNDTOTLK2,1,1966
SPDYNLE00FEIN,10.71428571,1966
SPDYNLE00MAIN,6.034482759,1966
SPDYNLE00IN,8.771929825,1966
AGPRDLVSKXD,23.14984037,1966
ITCELSETS,0,1966
ITCELSETSP2,0,1966
SPPOPTOTL,39.17525773,1966
SPPOP0014TOZS,98.01980198,1966
SPPOP1564TOZS,16.41791045,1966
SPPOP65UPTOZS,12.5,1966
ENPOPDNST,37.2109436,1966
SPPOPGROW,93.28413284,1966
ENURBLCTY,44.18604651,1966
ENURBLCTYURZS,54.83870968,1966
SPPOPTOTLFEZS,73.07692308,1966
SEPRMDURS,1,1966
SEPRMAGES,1,1966
SPRURTOTL,46.15384615,1966
SPRURTOTLZS,76,1966
SESECDURS,1,1966
SESECAGES,1,1966
AGSRFTOTLK2,1,1966
SPDYNTO65FEZS,12.29508197,1966
SPDYNTO65MAZS,5.649717514,1966
ITMLTMAIN,4.148894921,1966
ITMLTMAINP2,4.178767344,1966
SPURBTOTL,37.64705882,1966
SPURBTOTLINZS,24,1966
SPURBGROW,79.47624848,1966
NYADJDNGYCD,0.073915861,1967
NYADJDMINCD,8.207097767,1967
SPADOTFRT,100,1967
SPPOPDPND,88.81578947,1967
SPPOPDPNDOL,21.47651007,1967
SPPOPDPNDYG,97.61904762,1967
SPDYNCBRTIN,84,1967
AGPRDCROPXD,79.54194066,1967
SPDYNCDRTIN,71.42857143,1967
SPDYNTFRTIN,95.38461538,1967
AGPRDFOODXD,44.99876206,1967
AGLNDTOTLK2,1,1967
SPDYNLE00FEIN,11.60714286,1967
SPDYNLE00MAIN,6.896551724,1967
SPDYNLE00IN,9.649122807,1967
AGPRDLVSKXD,29.91902542,1967
ITCELSETS,0,1967
ITCELSETSP2,0,1967
SPPOPTOTL,43.29896907,1967
SPPOP0014TOZS,99.00990099,1967
SPPOP1564TOZS,10.44776119,1967
SPPOP65UPTOZS,15.625,1967
ENPOPDNST,40.69922451,1967
SPPOPGROW,65.38745387,1967
ENURBLCTY,41.86046512,1967
ENURBLCTYURZS,50.53763441,1967
SPPOPTOTLFEZS,69.23076923,1967
SEPRMDURS,1,1967
SEPRMAGES,1,1967
SPRURTOTL,53.84615385,1967
SPRURTOTLZS,72,1967
SESECDURS,1,1967
SESECAGES,1,1967
AGSRFTOTLK2,1,1967
SPDYNTO65FEZS,13.93442623,1967
SPDYNTO65MAZS,6.214689266,1967
ITMLTMAIN,5.447848003,1967
ITMLTMAINP2,5.501774766,1967
SPURBTOTL,41.17647059,1967
SPURBTOTLINZS,28,1967
SPURBGROW,56.51644336,1967
NYADJDNGYCD,0.160929373,1968
NYADJDMINCD,8.119719049,1968
SPADOTFRT,96.83329563,1968
SPPOPDPND,93.42105263,1968
SPPOPDPNDOL,24.16107383,1968
SPPOPDPNDYG,99.4047619,1968
SPDYNCBRTIN,76,1968
AGPRDCROPXD,75.06674018,1968
SPDYNCDRTIN,96.42857143,1968
SPDYNTFRTIN,87.69230769,1968
AGPRDFOODXD,47.30797434,1968
AGLNDTOTLK2,1,1968
SPDYNLE00FEIN,13.39285714,1968
SPDYNLE00MAIN,6.896551724,1968
SPDYNLE00IN,10.52631579,1968
AGPRDLVSKXD,36.09092943,1968
ITCELSETS,0,1968
ITCELSETSP2,0,1968
SPPOPTOTL,46.39175258,1968
SPPOP0014TOZS,100,1968
SPPOP1564TOZS,5.970149254,1968
SPPOP65UPTOZS,17.70833333,1968
ENPOPDNST,44.18750542,1968
SPPOPGROW,64.50184502,1968
ENURBLCTY,41.86046512,1968
ENURBLCTYURZS,46.23655914,1968
SPPOPTOTLFEZS,69.23076923,1968
SEPRMDURS,1,1968
SEPRMAGES,1,1968
SPRURTOTL,53.84615385,1968
SPRURTOTLZS,72,1968
SESECDURS,1,1968
SESECAGES,1,1968
AGSRFTOTLK2,1,1968
SPDYNTO65FEZS,15.57377049,1968
SPDYNTO65MAZS,7.344632768,1968
ITMLTMAIN,6.882512602,1968
ITMLTMAINP2,7.002258793,1968
SPURBTOTL,44.70588235,1968
SPURBTOTLINZS,28,1968
SPURBGROW,55.72472594,1968
NYADJDNGYCD,0.349925781,1969
NYADJDMINCD,8.033270628,1969
SPADOTFRT,93.66659127,1969
SPPOPDPND,96.71052632,1969
SPPOPDPNDOL,26.84563758,1969
SPPOPDPNDYG,100,1969
SPDYNCBRTIN,66,1969
AGPRDCROPXD,53.11694734,1969
SPDYNCDRTIN,100,1969
SPDYNTFRTIN,74.61538462,1969
AGPRDFOODXD,40.17040911,1969
AGLNDTOTLK2,1,1969
SPDYNLE00FEIN,14.28571429,1969
SPDYNLE00MAIN,7.75862069,1969
SPDYNLE00IN,11.40350877,1969
AGPRDLVSKXD,38.08186621,1969
ITCELSETS,0,1969
ITCELSETSP2,0,1969
SPPOPTOTL,52.57731959,1969
SPPOP0014TOZS,100,1969
SPPOP1564TOZS,2.985074627,1969
SPPOP65UPTOZS,19.79166667,1969
ENPOPDNST,51.16406725,1969
SPPOPGROW,90.18450185,1969
ENURBLCTY,39.53488372,1969
ENURBLCTYURZS,39.78494624,1969
SPPOPTOTLFEZS,65.38461538,1969
SEPRMDURS,1,1969
SEPRMAGES,1,1969
SPRURTOTL,69.23076923,1969
SPRURTOTLZS,68,1969
SESECDURS,1,1969
SESECAGES,1,1969
AGSRFTOTLK2,1,1969
SPDYNTO65FEZS,17.21311475,1969
SPDYNTO65MAZS,8.474576271,1969
ITMLTMAIN,8.511050795,1969
ITMLTMAINP2,8.664085189,1969
SPURBTOTL,50.58823529,1969
SPURBTOTLINZS,32,1969
SPURBGROW,76.9183922,1969
NYADJDNGYCD,0.760432631,1970
NYADJDMINCD,7.9477426,1970
SPADOTFRT,90.4998869,1970
SPPOPDPND,99.34210526,1970
SPPOPDPNDOL,30.20134228,1970
SPPOPDPNDYG,99.4047619,1970
SPDYNCBRTIN,53,1970
AGPRDCROPXD,64.83771051,1970
SPDYNCDRTIN,92.85714286,1970
SPDYNTFRTIN,60.76923077,1970
AGPRDFOODXD,50.0370434,1970
AGLNDTOTLK2,1,1970
SPDYNLE00FEIN,15.17857143,1970
SPDYNLE00MAIN,7.75862069,1970
SPDYNLE00IN,11.40350877,1970
AGPRDLVSKXD,41.66555241,1970
ITCELSETS,0,1970
ITCELSETSP2,0,1970
SPPOPTOTL,55.67010309,1970
SPPOP0014TOZS,99.00990099,1970
SPPOP1564TOZS,0,1970
SPPOP65UPTOZS,22.91666667,1970
ENPOPDNST,54.65234816,1970
SPPOPGROW,56.23616236,1970
ENURBLCTY,39.53488372,1970
ENURBLCTYURZS,36.55913978,1970
SPPOPTOTLFEZS,65.38461538,1970
SEPRMDURS,1,1970
SEPRMAGES,1,1970
SPRURTOTL,69.23076923,1970
SPRURTOTLZS,64,1970
SESECDURS,1,1970
SESECAGES,1,1970
AGSRFTOTLK2,1,1970
SPDYNTO65FEZS,18.85245902,1970
SPDYNTO65MAZS,9.039548023,1970
ITMLTMAIN,10.33346258,1970
ITMLTMAINP2,10.45498548,1970
SPURBTOTL,52.94117647,1970
SPURBTOTLINZS,36,1970
SPURBGROW,48.90377588,1970
NYADJDNGYCD,1.652067952,1971
NYADJDMINCD,7.863125165,1971
SPADOTFRT,87.55937571,1971
SPPOPDPND,100,1971
SPPOPDPNDOL,32.88590604,1971
SPPOPDPNDYG,98.21428571,1971
SPDYNCBRTIN,48,1971
AGPRDCROPXD,59.2969861,1971
SPDYNCDRTIN,85.71428571,1971
SPDYNTFRTIN,52.30769231,1971
AGPRDFOODXD,48.14768789,1971
AGLNDTOTLK2,1,1971
SPDYNLE00FEIN,16.96428571,1971
SPDYNLE00MAIN,8.620689655,1971
SPDYNLE00IN,12.28070175,1971
AGPRDLVSKXD,44.05467654,1971
ITCELSETS,0,1971
ITCELSETSP2,0,1971
SPPOPTOTL,56.70103093,1971
SPPOP0014TOZS,97.02970297,1971
SPPOP1564TOZS,0,1971
SPPOP65UPTOZS,25,1971
ENPOPDNST,54.65234816,1971
SPPOPGROW,45.16605166,1971
ENURBLCTY,34.88372093,1971
ENURBLCTYURZS,31.1827957,1971
SPPOPTOTLFEZS,65.38461538,1971
SEPRMDURS,1,1971
SEPRMAGES,1,1971
SPRURTOTL,69.23076923,1971
SPRURTOTLZS,64,1971
SESECDURS,1,1971
SESECAGES,1,1971
AGSRFTOTLK2,1,1971
SPDYNTO65FEZS,19.67213115,1971
SPDYNTO65MAZS,10.16949153,1971
ITMLTMAIN,11.74873982,1971
ITMLTMAINP2,11.9070668,1971
SPURBTOTL,54.11764706,1971
SPURBTOTLINZS,36,1971
SPURBGROW,39.28136419,1971
NYADJDNGYCD,2.05373522,1972
NYADJDMINCD,9.571603427,1972
SPADOTFRT,84.39267134,1972
SPPOPDPND,100,1972
SPPOPDPNDOL,35.5704698,1972
SPPOPDPNDYG,95.23809524,1972
SPDYNCBRTIN,34,1972
AGPRDCROPXD,58.87077653,1972
SPDYNCDRTIN,85.71428571,1972
SPDYNTFRTIN,36.15384615,1972
AGPRDFOODXD,48.14768789,1972
AGLNDTOTLK2,1,1972
SPDYNLE00FEIN,17.85714286,1972
SPDYNLE00MAIN,9.482758621,1972
SPDYNLE00IN,14.03508772,1972
AGPRDLVSKXD,44.05467654,1972
ITCELSETS,0,1972
ITCELSETSP2,0,1972
SPPOPTOTL,60.82474227,1972
SPPOP0014TOZS,95.04950495,1972
SPPOP1564TOZS,0,1972
SPPOP65UPTOZS,27.08333333,1972
ENPOPDNST,58.14062907,1972
SPPOPGROW,66.93726937,1972
ENURBLCTY,32.55813953,1972
ENURBLCTYURZS,25.80645161,1972
SPPOPTOTLFEZS,61.53846154,1972
SEPRMDURS,1,1972
SEPRMAGES,1,1972
SPRURTOTL,69.23076923,1972
SPRURTOTLZS,60,1972
SESECDURS,1,1972
SESECAGES,1,1972
AGSRFTOTLK2,1,1972
SPDYNTO65FEZS,21.31147541,1972
SPDYNTO65MAZS,11.29943503,1972
ITMLTMAIN,13.3385033,1972
ITMLTMAINP2,13.52049048,1972
SPURBTOTL,58.82352941,1972
SPURBTOTLINZS,40,1972
SPURBGROW,57.24725944,1972
NYADJDNGYCD,3.08076559,1973
NYADJDMINCD,17.625459,1973
SPADOTFRT,78.51164895,1973
SPPOPDPND,98.68421053,1973
SPPOPDPNDOL,37.58389262,1973
SPPOPDPNDYG,92.26190476,1973
SPDYNCBRTIN,22,1973
AGPRDCROPXD,67.82117749,1973
SPDYNCDRTIN,82.14285714,1973
SPDYNTFRTIN,23.07692308,1973
AGPRDFOODXD,51.71647051,1973
AGLNDTOTLK2,1,1973
SPDYNLE00FEIN,19.64285714,1973
SPDYNLE00MAIN,10.34482759,1973
SPDYNLE00IN,14.9122807,1973
AGPRDLVSKXD,45.24923861,1973
ITCELSETS,0,1973
ITCELSETSP2,0,1973
SPPOPTOTL,62.88659794,1973
SPPOP0014TOZS,91.08910891,1973
SPPOP1564TOZS,1.492537313,1973
SPPOP65UPTOZS,30.20833333,1973
ENPOPDNST,61.62890998,1973
SPPOPGROW,54.90774908,1973
ENURBLCTY,27.90697674,1973
ENURBLCTYURZS,20.43010753,1973
SPPOPTOTLFEZS,61.53846154,1973
SEPRMDURS,1,1973
SEPRMAGES,1,1973
SPRURTOTL,76.92307692,1973
SPRURTOTLZS,60,1973
SESECDURS,1,1973
SESECAGES,1,1973
AGSRFTOTLK2,1,1973
SPDYNTO65FEZS,24.59016393,1973
SPDYNTO65MAZS,12.99435028,1973
ITMLTMAIN,14.88949205,1973
ITMLTMAINP2,15.29525653,1973
SPURBTOTL,61.17647059,1973
SPURBTOTLINZS,40,1973
SPURBGROW,47.25943971,1973
NYADJDNGYCD,15.3510758,1974
NYADJDMINCD,25.09179927,1974
SPADOTFRT,72.85681972,1974
SPPOPDPND,95.39473684,1974
SPPOPDPNDOL,39.59731544,1974
SPPOPDPNDYG,87.5,1974
SPDYNCBRTIN,21,1974
AGPRDCROPXD,69.73912056,1974
SPDYNCDRTIN,78.57142857,1974
SPDYNTFRTIN,20.76923077,1974
AGPRDFOODXD,59.90367768,1974
AGLNDTOTLK2,1,1974
SPDYNLE00FEIN,21.42857143,1974
SPDYNLE00MAIN,11.20689655,1974
SPDYNLE00IN,16.66666667,1974
AGPRDLVSKXD,53.81026675,1974
ITCELSETS,0,1974
ITCELSETSP2,0,1974
SPPOPTOTL,63.91752577,1974
SPPOP0014TOZS,87.12871287,1974
SPPOP1564TOZS,4.47761194,1974
SPPOP65UPTOZS,32.29166667,1974
ENPOPDNST,61.62890998,1974
SPPOPGROW,34.53874539,1974
ENURBLCTY,25.58139535,1974
ENURBLCTYURZS,16.12903226,1974
SPPOPTOTLFEZS,61.53846154,1974
SEPRMDURS,1,1974
SEPRMAGES,1,1974
SPRURTOTL,69.23076923,1974
SPRURTOTLZS,56,1974
