indicator,value,year
AGSRFTOTLK2,1,1963
SPDYNTO65FEZS,59.25925926,1963
SPDYNTO65MAZS,99.40828402,1963
ITMLTMAIN,0.868837245,1963
ITMLTMAINP2,0.962654274,1963
SPURBTOTL,12.33183857,1963
SPURBTOTLINZS,13.43283582,1963
SPURBGROW,85.62259307,1963
NYADJDNGYCD,1.55E-08,1964
NYADJDMINCD,0,1964
SPADOTFRT,5.118110236,1964
SPPOPDPND,94.89795918,1964
SPPOPDPNDOL,7.33197556,1964
SPPOPDPNDYG,95.37366548,1964
SPDYNCBRTIN,68.83116883,1964
AGPRDCROPXD,31.52542373,1964
SPDYNCDRTIN,0.119904077,1964
SPDYNTFRTIN,74.81481481,1964
AGPRDFOODXD,30.83841764,1964
AGLNDTOTLK2,1,1964
SPDYNLE00FEIN,36.73469388,1964
SPDYNLE00MAIN,80.55555556,1964
SPDYNLE00IN,62,1964
AGPRDLVSKXD,49.17851612,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,17.24137931,1964
SPPOP0014TOZS,95.625,1964
SPPOP1564TOZS,4.494382022,1964
SPPOP65UPTOZS,5.569948187,1964
ENPOPDNST,19.0756147,1964
SPPOPGROW,81.90954774,1964
ENURBLCTY,8.126410835,1964
ENURBLCTYURZS,45.10869565,1964
SPPOPTOTLFEZS,80,1964
SEPRMDURS,0,1964
SEPRMAGES,1,1964
SPRURTOTL,88.95027624,1964
SPRURTOTLZS,82.08955224,1964
SESECDURS,1,1964
SESECAGES,0,1964
AGSRFTOTLK2,1,1964
SPDYNTO65FEZS,64.81481481,1964
SPDYNTO65MAZS,98.81656805,1964
ITMLTMAIN,1.244582724,1964
ITMLTMAINP2,1.37402836,1964
SPURBTOTL,16.59192825,1964
SPURBTOTLINZS,17.91044776,1964
SPURBGROW,84.85237484,1964
NYADJDNGYCD,2.33E-08,1965
NYADJDMINCD,0,1965
SPADOTFRT,3.543307087,1965
SPPOPDPND,90.81632653,1965
SPPOPDPNDOL,8.350305499,1965
SPPOPDPNDYG,91.81494662,1965
SPDYNCBRTIN,61.03896104,1965
AGPRDCROPXD,31.01694915,1965
