indicator,value,year
SESECDURS,0,1963
SESECAGES,100,1963
AGSRFTOTLK2,1,1963
SPDYNTO65FEZS,8.181818182,1963
SPDYNTO65MAZS,11.29032258,1963
ITMLTMAIN,0.078055308,1963
ITMLTMAINP2,0.070700524,1963
SPURBTOTL,11.76470588,1963
SPURBTOTLINZS,46.66666667,1963
SPURBGROW,73.62318841,1963
NYADJDNGYCD,1,1964
NYADJDMINCD,0,1964
SPADOTFRT,83.91959799,1964
SPPOPDPND,90.60913706,1964
SPPOPDPNDOL,13.01886792,1964
SPPOPDPNDYG,94.91525424,1964
SPDYNCBRTIN,86.63101604,1964
AGPRDCROPXD,11.55129233,1964
SPDYNCDRTIN,65.7980456,1964
SPDYNTFRTIN,85.75757576,1964
AGPRDFOODXD,12.2172355,1964
AGLNDTOTLK2,1,1964
SPDYNLE00FEIN,10.13513514,1964
SPDYNLE00MAIN,12.59259259,1964
SPDYNLE00IN,11.97183099,1964
AGPRDLVSKXD,24.6131613,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,9.090909091,1964
SPPOP0014TOZS,97.63313609,1964
SPPOP1564TOZS,7.746478873,1964
SPPOP65UPTOZS,6.526806527,1964
ENPOPDNST,9.208531852,1964
SPPOPGROW,100,1964
ENURBLCTY,15.6097561,1964
ENURBLCTYURZS,71.91011236,1964
SPPOPTOTLFEZS,14.28571429,1964
SEPRMDURS,0,1964
SEPRMAGES,100,1964
SPRURTOTL,7.847295864,1964
SPRURTOTLZS,46.66666667,1964
SESECDURS,0,1964
SESECAGES,100,1964
AGSRFTOTLK2,1,1964
SPDYNTO65FEZS,11.36363636,1964
SPDYNTO65MAZS,16.66666667,1964
ITMLTMAIN,0.105932203,1964
ITMLTMAINP2,0.094267366,1964
SPURBTOTL,17.64705882,1964
SPURBTOTLINZS,53.33333333,1964
SPURBGROW,97.39130435,1964
NYADJDNGYCD,1,1965
NYADJDMINCD,0,1965
SPADOTFRT,78.64321608,1965
SPPOPDPND,88.07106599,1965
SPPOPDPNDOL,8.490566038,1965
SPPOPDPNDYG,92.97820823,1965
SPDYNCBRTIN,83.42245989,1965
AGPRDCROPXD,6.736033176,1965
SPDYNCDRTIN,57.81758958,1965
SPDYNTFRTIN,82.42424242,1965
AGPRDFOODXD,6.752613073,1965
AGLNDTOTLK2,1,1965
SPDYNLE00FEIN,12.83783784,1965
SPDYNLE00MAIN,16.2962963,1965
SPDYNLE00IN,14.78873239,1965
AGPRDLVSKXD,26.71453659,1965
ITCELSETS,0,1965
ITCELSETSP2,0,1965
SPPOPTOTL,11.81818182,1965
SPPOP0014TOZS,96.44970414,1965
SPPOP1564TOZS,9.85915493,1965
SPPOP65UPTOZS,3.962703963,1965
ENPOPDNST,11.49259394,1965
SPPOPGROW,86.52173913,1965
ENURBLCTY,18.53658537,1965
ENURBLCTYURZS,64.04494382,1965
SPPOPTOTLFEZS,17.14285714,1965
SEPRMDURS,0,1965
SEPRMAGES,100,1965
SPRURTOTL,9.8621421,1965
SPRURTOTLZS,42.22222222,1965
SESECDURS,0,1965
SESECAGES,100,1965
AGSRFTOTLK2,1,1965
SPDYNTO65FEZS,14.54545455,1965
SPDYNTO65MAZS,21.50537634,1965
ITMLTMAIN,0.136596789,1965
ITMLTMAINP2,0.117834207,1965
SPURBTOTL,22.22222222,1965
SPURBTOTLINZS,57.77777778,1965
SPURBGROW,88.11594203,1965
NYADJDNGYCD,1,1966
NYADJDMINCD,0,1966
SPADOTFRT,73.36683417,1966
SPPOPDPND,86.04060914,1966
SPPOPDPNDOL,5.283018868,1966
SPPOPDPNDYG,91.52542373,1966
SPDYNCBRTIN,80.21390374,1966
AGPRDCROPXD,8.63679337,1966
