indicator,value,year
SPRURTOTLZS,95.69892473,1963
SESECDURS,1,1963
SESECAGES,91.66666667,1963
AGSRFTOTLK2,1,1963
SPDYNTO65FEZS,6.701030928,1963
SPDYNTO65MAZS,11.70212766,1963
ITMLTMAIN,0.551269779,1963
ITMLTMAINP2,1.489781905,1963
SPURBTOTL,2.750389206,1963
SPURBTOTLINZS,4.301075269,1963
SPURBGROW,58.99470899,1963
NYADJDNGYCD,1.27E-06,1964
NYADJDMINCD,0.429106127,1964
SPADOTFRT,85.08287293,1964
SPPOPDPND,100,1964
SPPOPDPNDOL,85.36585366,1964
SPPOPDPNDYG,100,1964
SPDYNCBRTIN,89.23076923,1964
AGPRDCROPXD,5.951567868,1964
SPDYNCDRTIN,80.76923077,1964
SPDYNTFRTIN,93.06930693,1964
AGPRDFOODXD,5.522712503,1964
AGLNDTOTLK2,1,1964
SPDYNLE00FEIN,10.15625,1964
SPDYNLE00MAIN,12.94117647,1964
SPDYNLE00IN,11.32075472,1964
AGPRDLVSKXD,4.85122785,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,5.377906977,1964
SPPOP0014TOZS,100,1964
SPPOP1564TOZS,0,1964
SPPOP65UPTOZS,5.063291139,1964
ENPOPDNST,5.153936387,1964
SPPOPGROW,91.71597633,1964
ENURBLCTY,4.616998951,1964
ENURBLCTYURZS,39.53488372,1964
SPPOPTOTLFEZS,20,1964
SEPRMDURS,1,1964
SEPRMAGES,100,1964
SPRURTOTL,7.590759076,1964
SPRURTOTLZS,94.62365591,1964
SESECDURS,1,1964
SESECAGES,91.66666667,1964
AGSRFTOTLK2,1,1964
SPDYNTO65FEZS,9.278350515,1964
SPDYNTO65MAZS,14.89361702,1964
ITMLTMAIN,0.798150015,1964
ITMLTMAINP2,2.120558058,1964
SPURBTOTL,3.710430721,1964
SPURBTOTLINZS,5.376344086,1964
SPURBGROW,57.14285714,1964
NYADJDNGYCD,3.36E-06,1965
NYADJDMINCD,0.574699235,1965
SPADOTFRT,80.11049724,1965
SPPOPDPND,100,1965
SPPOPDPNDOL,80.48780488,1965
SPPOPDPNDYG,99.23469388,1965
SPDYNCBRTIN,86.66666667,1965
AGPRDCROPXD,6.069275543,1965
SPDYNCDRTIN,76.15384615,1965
SPDYNTFRTIN,90.84158416,1965
AGPRDFOODXD,6.178046289,1965
AGLNDTOTLK2,1,1965
SPDYNLE00FEIN,13.28125,1965
SPDYNLE00MAIN,16.47058824,1965
SPDYNLE00IN,14.1509434,1965
AGPRDLVSKXD,6.246371136,1965
ITCELSETS,0,1965
ITCELSETSP2,0,1965
SPPOPTOTL,6.686046512,1965
SPPOP0014TOZS,100,1965
SPPOP1564TOZS,0.840336134,1965
SPPOP65UPTOZS,3.797468354,1965
ENPOPDNST,6.886284581,1965
SPPOPGROW,86.98224852,1965
ENURBLCTY,5.876180483,1965
ENURBLCTYURZS,41.86046512,1965
SPPOPTOTLFEZS,20,1965
SEPRMDURS,1,1965
SEPRMAGES,100,1965
SPRURTOTL,9.240924092,1965
SPRURTOTLZS,93.01075269,1965
SESECDURS,1,1965
SESECAGES,91.66666667,1965
AGSRFTOTLK2,1,1965
SPDYNTO65FEZS,11.8556701,1965
SPDYNTO65MAZS,17.0212766,1965
ITMLTMAIN,1.085403535,1965
ITMLTMAINP2,2.833229603,1965
SPURBTOTL,4.696419305,1965
SPURBTOTLINZS,6.989247312,1965
SPURBGROW,54.76190476,1965
NYADJDNGYCD,8.79E-06,1966
NYADJDMINCD,0.73986448,1966
SPADOTFRT,75.69060773,1966
SPPOPDPND,97.42930591,1966
SPPOPDPNDOL,74.3902439,1966
SPPOPDPNDYG,97.44897959,1966
SPDYNCBRTIN,83.58974359,1966
AGPRDCROPXD,7.128644615,1966
SPDYNCDRTIN,71.92307692,1966
SPDYNTFRTIN,88.61386139,1966
AGPRDFOODXD,7.270269266,1966
AGLNDTOTLK2,1,1966
SPDYNLE00FEIN,15.625,1966
SPDYNLE00MAIN,18.82352941,1966
SPDYNLE00IN,16.98113208,1966
AGPRDLVSKXD,8.199571738,1966
ITCELSETS,0,1966
ITCELSETSP2,0,1966
SPPOPTOTL,8.139534884,1966
SPPOP0014TOZS,98.41269841,1966
SPPOP1564TOZS,2.521008403,1966
SPPOP65UPTOZS,1.265822785,1966
ENPOPDNST,8.185545727,1966
SPPOPGROW,81.65680473,1966
ENURBLCTY,7.240293809,1966
ENURBLCTYURZS,43.02325581,1966
SPPOPTOTLFEZS,20,1966
SEPRMDURS,1,1966
SEPRMAGES,100,1966
SPRURTOTL,11.22112211,1966
SPRURTOTLZS,91.39784946,1966
SESECDURS,1,1966
SESECAGES,91.66666667,1966
AGSRFTOTLK2,1,1966
SPDYNTO65FEZS,14.94845361,1966
SPDYNTO65MAZS,19.14893617,1966
ITMLTMAIN,1.419632737,1966
ITMLTMAINP2,3.638429258,1966
SPURBTOTL,5.812143228,1966
SPURBTOTLINZS,8.602150538,1966
SPURBGROW,53.43915344,1966
NYADJDNGYCD,2.29E-05,1967
NYADJDMINCD,0.927232954,1967
SPADOTFRT,71.27071823,1967
SPPOPDPND,94.85861183,1967
SPPOPDPNDOL,67.07317073,1967
SPPOPDPNDYG,94.64285714,1967
SPDYNCBRTIN,81.02564103,1967
AGPRDCROPXD,7.717182989,1967
SPDYNCDRTIN,67.69230769,1967
SPDYNTFRTIN,86.13861386,1967
AGPRDFOODXD,7.816380754,1967
AGLNDTOTLK2,1,1967
SPDYNLE00FEIN,18.75,1967
SPDYNLE00MAIN,22.35294118,1967
SPDYNLE00IN,19.81132075,1967
AGPRDLVSKXD,8.29258129,1967
ITCELSETS,0,1967
ITCELSETSP2,0,1967
SPPOPTOTL,9.447674419,1967
SPPOP0014TOZS,96.03174603,1967
SPPOP1564TOZS,5.042016807,1967
SPPOP65UPTOZS,0,1967
ENPOPDNST,9.484806872,1967
SPPOPGROW,77.5147929,1967
ENURBLCTY,8.604407135,1967
ENURBLCTYURZS,44.18604651,1967
SPPOPTOTLFEZS,0,1967
SEPRMDURS,1,1967
SEPRMAGES,100,1967
SPRURTOTL,13.20132013,1967
SPRURTOTLZS,89.78494624,1967
SESECDURS,1,1967
SESECAGES,91.66666667,1967
AGSRFTOTLK2,1,1967
SPDYNTO65FEZS,17.5257732,1967
SPDYNTO65MAZS,22.34042553,1967
ITMLTMAIN,1.808519739,1967
ITMLTMAINP2,4.548170169,1967
SPURBTOTL,6.850025947,1967
SPURBTOTLINZS,10.21505376,1967
SPURBGROW,51.05820106,1967
NYADJDNGYCD,5.96E-05,1968
NYADJDMINCD,1.139789444,1968
SPADOTFRT,65.19337017,1968
SPPOPDPND,91.2596401,1968
SPPOPDPNDOL,60.97560976,1968
SPPOPDPNDYG,91.32653061,1968
SPDYNCBRTIN,78.46153846,1968
AGPRDCROPXD,7.599475314,1968
SPDYNCDRTIN,63.46153846,1968
SPDYNTFRTIN,83.66336634,1968
AGPRDFOODXD,8.144047647,1968
AGLNDTOTLK2,1,1968
SPDYNLE00FEIN,21.875,1968
SPDYNLE00MAIN,24.70588235,1968
SPDYNLE00IN,22.64150943,1968
AGPRDLVSKXD,9.780734129,1968
ITCELSETS,0,1968
ITCELSETSP2,0,1968
SPPOPTOTL,10.90116279,1968
SPPOP0014TOZS,93.65079365,1968
SPPOP1564TOZS,7.56302521,1968
SPPOP65UPTOZS,0,1968
ENPOPDNST,10.78406802,1968
SPPOPGROW,73.96449704,1968
ENURBLCTY,10.07345226,1968
ENURBLCTYURZS,46.51162791,1968
SPPOPTOTLFEZS,0,1968
SEPRMDURS,1,1968
SEPRMAGES,100,1968
SPRURTOTL,14.85148515,1968
SPRURTOTLZS,88.70967742,1968
SESECDURS,1,1968
SESECAGES,91.66666667,1968
AGSRFTOTLK2,1,1968
SPDYNTO65FEZS,19.58762887,1968
SPDYNTO65MAZS,24.46808511,1968
ITMLTMAIN,2.267355397,1968
ITMLTMAINP2,5.573246989,1968
SPURBTOTL,7.887908666,1968
SPURBTOTLINZS,11.29032258,1968
SPURBGROW,49.73544974,1968
NYADJDNGYCD,0.000155005,1969
NYADJDMINCD,1.380919985,1969
SPADOTFRT,59.66850829,1969
SPPOPDPND,87.91773779,1969
SPPOPDPNDOL,56.09756098,1969
SPPOPDPNDYG,88.01020408,1969
SPDYNCBRTIN,75.8974359,1969
AGPRDCROPXD,9.835921135,1969
SPDYNCDRTIN,59.61538462,1969
SPDYNTFRTIN,80.94059406,1969
AGPRDFOODXD,10.00082671,1969
AGLNDTOTLK2,1,1969
SPDYNLE00FEIN,24.21875,1969
SPDYNLE00MAIN,27.05882353,1969
SPDYNLE00IN,25.47169811,1969
AGPRDLVSKXD,10.71082965,1969
ITCELSETS,0,1969
ITCELSETSP2,0,1969
SPPOPTOTL,12.35465116,1969
SPPOP0014TOZS,90.47619048,1969
SPPOP1564TOZS,10.92436975,1969
SPPOP65UPTOZS,0,1969
ENPOPDNST,12.51641621,1969
SPPOPGROW,72.78106509,1969
ENURBLCTY,11.54249738,1969
ENURBLCTYURZS,48.8372093,1969
SPPOPTOTLFEZS,0,1969
SEPRMDURS,1,1969
SEPRMAGES,100,1969
SPRURTOTL,16.83168317,1969
SPRURTOTLZS,87.09677419,1969
SESECDURS,1,1969
SESECAGES,91.66666667,1969
AGSRFTOTLK2,1,1969
SPDYNTO65FEZS,22.16494845,1969
SPDYNTO65MAZS,26.59574468,1969
ITMLTMAIN,2.784459336,1969
ITMLTMAINP2,6.739574042,1969
SPURBTOTL,8.925791386,1969
SPURBTOTLINZS,12.90322581,1969
SPURBGROW,48.67724868,1969
