indicator,value,year
SPRURTOTLZS,95.27027027,1963
SESECDURS,1,1963
SESECAGES,1,1963
AGSRFTOTLK2,1,1963
SPDYNTO65FEZS,12.5,1963
SPDYNTO65MAZS,11.11111111,1963
ITMLTMAIN,1.305800182,1963
ITMLTMAINP2,2.549383758,1963
SPURBTOTL,7.191011236,1963
SPURBTOTLINZS,4.72972973,1963
SPURBGROW,64.83407628,1963
NYADJDNGYCD,1,1964
NYADJDMINCD,53.50118074,1964
SPADOTFRT,86.47529672,1964
SPPOPDPND,94.43207127,1964
SPPOPDPNDOL,2.938840349,1964
SPPOPDPNDYG,95.11343805,1964
SPDYNCBRTIN,82.06896552,1964
AGPRDCROPXD,29.01618929,1964
SPDYNCDRTIN,41.17647059,1964
SPDYNTFRTIN,91.18124855,1964
AGPRDFOODXD,36.31578947,1964
AGLNDTOTLK2,1,1964
SPDYNLE00FEIN,12.57861635,1964
SPDYNLE00MAIN,13.01775148,1964
SPDYNLE00IN,12.80487805,1964
AGPRDLVSKXD,37.60831889,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,10.52631579,1964
SPPOP0014TOZS,96.56357388,1964
SPPOP1564TOZS,4.232804233,1964
SPPOP65UPTOZS,2.312138728,1964
ENPOPDNST,11.50015786,1964
SPPOPGROW,46.17963649,1964
ENURBLCTY,10.64301552,1964
ENURBLCTYURZS,100,1964
SPPOPTOTLFEZS,16.66666667,1964
SEPRMDURS,1,1964
SEPRMAGES,1,1964
SPRURTOTL,98.97750511,1964
SPRURTOTLZS,93.24324324,1964
SESECDURS,1,1964
SESECAGES,1,1964
AGSRFTOTLK2,1,1964
SPDYNTO65FEZS,15.625,1964
SPDYNTO65MAZS,13.8047138,1964
ITMLTMAIN,1.936508678,1964
ITMLTMAINP2,3.697450616,1964
SPURBTOTL,8.988764045,1964
SPURBTOTLINZS,6.756756757,1964
SPURBGROW,47.82895823,1964
NYADJDNGYCD,1,1965
NYADJDMINCD,54.31625423,1965
SPADOTFRT,79.5749379,1965
SPPOPDPND,92.20489978,1965
SPPOPDPNDOL,3.89197776,1965
SPPOPDPNDYG,93.19371728,1965
SPDYNCBRTIN,73.10344828,1965
AGPRDCROPXD,38.66749689,1965
SPDYNCDRTIN,23.52941176,1965
SPDYNTFRTIN,84.68322117,1965
AGPRDFOODXD,33.15789474,1965
AGLNDTOTLK2,1,1965
SPDYNLE00FEIN,15.72327044,1965
SPDYNLE00MAIN,15.38461538,1965
SPDYNLE00IN,15.85365854,1965
AGPRDLVSKXD,30.1559792,1965
ITCELSETS,0,1965
ITCELSETSP2,0,1965
SPPOPTOTL,13.03258145,1965
SPPOP0014TOZS,95.18900344,1965
SPPOP1564TOZS,5.82010582,1965
SPPOP65UPTOZS,3.179190751,1965
ENPOPDNST,13.82231115,1965
SPPOPGROW,49.88530086,1965
ENURBLCTY,12.63858093,1965
ENURBLCTYURZS,100,1965
SPPOPTOTLFEZS,16.66666667,1965
SEPRMDURS,1,1965
SEPRMAGES,1,1965
SPRURTOTL,100,1965
SPRURTOTLZS,91.89189189,1965
SESECDURS,1,1965
SESECAGES,1,1965
AGSRFTOTLK2,1,1965
SPDYNTO65FEZS,18.75,1965
SPDYNTO65MAZS,16.83501684,1965
ITMLTMAIN,2.66065547,1965
ITMLTMAINP2,5.031234172,1965
SPURBTOTL,11.01123596,1965
SPURBTOTLINZS,8.108108108,1965
SPURBGROW,51.29602113,1965
NYADJDNGYCD,1,1966
NYADJDMINCD,55.14374511,1966
SPADOTFRT,72.95059343,1966
SPPOPDPND,90.20044543,1966
SPPOPDPNDOL,5.083399523,1966
SPPOPDPNDYG,91.44851658,1966
SPDYNCBRTIN,63.44827586,1966
AGPRDCROPXD,79.45205479,1966
SPDYNCDRTIN,41.17647059,1966
SPDYNTFRTIN,77.72104897,1966
AGPRDFOODXD,45.78947368,1966
AGLNDTOTLK2,1,1966
SPDYNLE00FEIN,17.61006289,1966
SPDYNLE00MAIN,18.34319527,1966
SPDYNLE00IN,18.29268293,1966
AGPRDLVSKXD,32.12016176,1966
ITCELSETS,0,1966
ITCELSETSP2,0,1966
SPPOPTOTL,13.78446115,1966
SPPOP0014TOZS,94.1580756,1966
