indicator,value,year
SESECDURS,1,1963
SESECAGES,100,1963
AGSRFTOTLK2,1,1963
SPDYNTO65FEZS,7.394366197,1963
SPDYNTO65MAZS,5.836575875,1963
ITMLTMAIN,0.162685161,1963
ITMLTMAINP2,0.041928721,1963
SPURBTOTL,5.833333333,1963
SPURBTOTLINZS,28.33333333,1963
SPURBGROW,92.7444795,1963
NYADJDNGYCD,0.037565128,1964
NYADJDMINCD,0.011912805,1964
SPADOTFRT,96.15014437,1964
SPPOPDPND,96.7032967,1964
SPPOPDPNDOL,18.94736842,1964
SPPOPDPNDYG,97.87985866,1964
SPDYNCBRTIN,89.49579832,1964
AGPRDCROPXD,11.3436418,1964
SPDYNCDRTIN,86.83191325,1964
SPDYNTFRTIN,95.76719577,1964
AGPRDFOODXD,6.542449084,1964
AGLNDTOTLK2,1,1964
SPDYNLE00FEIN,9.663865546,1964
SPDYNLE00MAIN,8.333333333,1964
SPDYNLE00IN,9.251101322,1964
AGPRDLVSKXD,0.668676829,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,6.225680934,1964
SPPOP0014TOZS,99.05660377,1964
SPPOP1564TOZS,3.225806452,1964
SPPOP65UPTOZS,10.65088757,1964
ENPOPDNST,6.326808038,1964
SPPOPGROW,92.8,1964
ENURBLCTY,11.05121294,1964
ENURBLCTYURZS,66.66666667,1964
SPPOPTOTLFEZS,50,1964
SEPRMDURS,100,1964
SEPRMAGES,1,1964
SPRURTOTL,4.744525547,1964
SPRURTOTLZS,63.33333333,1964
SESECDURS,1,1964
SESECAGES,100,1964
AGSRFTOTLK2,1,1964
SPDYNTO65FEZS,9.85915493,1964
SPDYNTO65MAZS,7.782101167,1964
ITMLTMAIN,0.214059423,1964
ITMLTMAINP2,0.055904962,1964
SPURBTOTL,7.916666667,1964
SPURBTOTLINZS,36.66666667,1964
SPURBGROW,90.85173502,1964
NYADJDNGYCD,0.055860718,1965
NYADJDMINCD,0.015625076,1965
SPADOTFRT,94.22521655,1965
SPPOPDPND,97.06959707,1965
SPPOPDPNDOL,22.63157895,1965
SPPOPDPNDYG,97.87985866,1965
SPDYNCBRTIN,86.97478992,1965
AGPRDCROPXD,11.75744044,1965
SPDYNCDRTIN,83.73353989,1965
SPDYNTFRTIN,94.17989418,1965
AGPRDFOODXD,6.735942979,1965
AGLNDTOTLK2,1,1965
SPDYNLE00FEIN,11.76470588,1965
SPDYNLE00MAIN,10.18518519,1965
SPDYNLE00IN,11.01321586,1965
AGPRDLVSKXD,0.843248575,1965
ITCELSETS,0,1965
ITCELSETSP2,0,1965
SPPOPTOTL,7.976653696,1965
SPPOP0014TOZS,99.05660377,1965
SPPOP1564TOZS,2.150537634,1965
SPPOP65UPTOZS,12.4260355,1965
ENPOPDNST,7.87512526,1965
SPPOPGROW,89.6,1965
ENURBLCTY,14.28571429,1965
ENURBLCTYURZS,73.68421053,1965
SPPOPTOTLFEZS,50,1965
SEPRMDURS,100,1965
SEPRMAGES,1,1965
SPRURTOTL,5.839416058,1965
SPRURTOTLZS,53.33333333,1965
SESECDURS,1,1965
SESECAGES,100,1965
AGSRFTOTLK2,1,1965
SPDYNTO65FEZS,11.97183099,1965
SPDYNTO65MAZS,9.727626459,1965
ITMLTMAIN,0.273996061,1965
ITMLTMAINP2,0.062893082,1965
SPURBTOTL,10.41666667,1965
SPURBTOTLINZS,46.66666667,1965
SPURBGROW,88.95899054,1965
NYADJDNGYCD,0.080241273,1966
NYADJDMINCD,0.019687595,1966
SPADOTFRT,93.26275265,1966
SPPOPDPND,97.8021978,1966
SPPOPDPNDOL,26.31578947,1966
SPPOPDPNDYG,98.58657244,1966
SPDYNCBRTIN,84.03361345,1966
AGPRDCROPXD,11.8608901,1966
SPDYNCDRTIN,80.63516654,1966
SPDYNTFRTIN,92.06349206,1966
AGPRDFOODXD,7.413171608,1966
AGLNDTOTLK2,1,1966
SPDYNLE00FEIN,13.86554622,1966
SPDYNLE00MAIN,12.03703704,1966
SPDYNLE00IN,12.7753304,1966
AGPRDLVSKXD,1.192392066,1966
ITCELSETS,0,1966
ITCELSETSP2,0,1966
SPPOPTOTL,9.53307393,1966
SPPOP0014TOZS,99.05660377,1966
SPPOP1564TOZS,2.150537634,1966
SPPOP65UPTOZS,14.20118343,1966
ENPOPDNST,9.616982136,1966
SPPOPGROW,86.4,1966
ENURBLCTY,17.52021563,1966
ENURBLCTYURZS,84.21052632,1966
SPPOPTOTLFEZS,50,1966
SEPRMDURS,100,1966
SEPRMAGES,1,1966
SPRURTOTL,7.299270073,1966
SPRURTOTLZS,48.33333333,1966
SESECDURS,1,1966
SESECAGES,100,1966
AGSRFTOTLK2,1,1966
SPDYNTO65FEZS,14.08450704,1966
SPDYNTO65MAZS,11.28404669,1966
ITMLTMAIN,0.3339327,1966
ITMLTMAINP2,0.076869322,1966
SPURBTOTL,12.08333333,1966
SPURBTOTLINZS,51.66666667,1966
SPURBGROW,67.50788644,1966
NYADJDNGYCD,0.112730604,1967
NYADJDMINCD,0.024133409,1967
SPADOTFRT,91.33782483,1967
SPPOPDPND,98.9010989,1967
SPPOPDPNDOL,30,1967
SPPOPDPNDYG,99.29328622,1967
SPDYNCBRTIN,81.09243697,1967
AGPRDCROPXD,10.8263935,1967
SPDYNCDRTIN,78.31138652,1967
SPDYNTFRTIN,89.68253968,1967
AGPRDFOODXD,6.929436873,1967
AGLNDTOTLK2,1,1967
SPDYNLE00FEIN,15.54621849,1967
SPDYNLE00MAIN,13.42592593,1967
SPDYNLE00IN,14.53744493,1967
AGPRDLVSKXD,1.628821429,1967
ITCELSETS,0,1967
ITCELSETSP2,0,1967
SPPOPTOTL,11.28404669,1967
SPPOP0014TOZS,100,1967
SPPOP1564TOZS,1.075268817,1967
SPPOP65UPTOZS,15.97633136,1967
ENPOPDNST,11.35883901,1967
SPPOPGROW,83.2,1967
ENURBLCTY,19.40700809,1967
ENURBLCTYURZS,80.70175439,1967
SPPOPTOTLFEZS,50,1967
SEPRMDURS,100,1967
SEPRMAGES,1,1967
SPRURTOTL,8.759124088,1967
SPRURTOTLZS,43.33333333,1967
SESECDURS,1,1967
SESECAGES,100,1967
AGSRFTOTLK2,1,1967
SPDYNTO65FEZS,16.1971831,1967
SPDYNTO65MAZS,13.22957198,1967
ITMLTMAIN,0.393869338,1967
ITMLTMAINP2,0.090845563,1967
SPURBTOTL,14.16666667,1967
SPURBTOTLINZS,56.66666667,1967
SPURBGROW,66.24605678,1967
NYADJDNGYCD,0.156025623,1968
NYADJDMINCD,0.028998681,1968
SPADOTFRT,89.41289702,1968
SPPOPDPND,99.63369963,1968
SPPOPDPNDOL,33.15789474,1968
SPPOPDPNDYG,100,1968
SPDYNCBRTIN,77.73109244,1968
AGPRDCROPXD,13.30918533,1968
SPDYNCDRTIN,75.98760651,1968
SPDYNTFRTIN,87.03703704,1968
AGPRDFOODXD,9.348110551,1968
AGLNDTOTLK2,1,1968
SPDYNLE00FEIN,16.80672269,1968
SPDYNLE00MAIN,14.35185185,1968
SPDYNLE00IN,15.85903084,1968
AGPRDLVSKXD,3.723682375,1968
ITCELSETS,0,1968
ITCELSETSP2,0,1968
SPPOPTOTL,13.03501946,1968
SPPOP0014TOZS,100,1968
SPPOP1564TOZS,0,1968
SPPOP65UPTOZS,17.75147929,1968
ENPOPDNST,12.90715623,1968
SPPOPGROW,78.4,1968
ENURBLCTY,21.42857143,1968
ENURBLCTYURZS,78.94736842,1968
SPPOPTOTLFEZS,50,1968
SEPRMDURS,100,1968
SEPRMAGES,1,1968
SPRURTOTL,10.2189781,1968
SPRURTOTLZS,38.33333333,1968
SESECDURS,1,1968
SESECAGES,100,1968
AGSRFTOTLK2,1,1968
SPDYNTO65FEZS,17.6056338,1968
SPDYNTO65MAZS,14.39688716,1968
ITMLTMAIN,0.462368353,1968
ITMLTMAINP2,0.104821803,1968
SPURBTOTL,15.83333333,1968
SPURBTOTLINZS,61.66666667,1968
SPURBGROW,63.72239748,1968
NYADJDNGYCD,0.213720215,1969
NYADJDMINCD,0.034322986,1969
SPADOTFRT,87.4879692,1969
SPPOPDPND,100,1969
SPPOPDPNDOL,36.31578947,1969
SPPOPDPNDYG,100,1969
SPDYNCBRTIN,74.78991597,1969
AGPRDCROPXD,15.6885275,1969
SPDYNCDRTIN,73.66382649,1969
SPDYNTFRTIN,84.39153439,1969
AGPRDFOODXD,10.41232697,1969
AGLNDTOTLK2,1,1969
SPDYNLE00FEIN,18.06722689,1969
SPDYNLE00MAIN,15.74074074,1969
SPDYNLE00IN,16.74008811,1969
AGPRDLVSKXD,3.985539993,1969
ITCELSETS,0,1969
ITCELSETSP2,0,1969
SPPOPTOTL,14.59143969,1969
SPPOP0014TOZS,100,1969
SPPOP1564TOZS,0,1969
SPPOP65UPTOZS,19.52662722,1969
ENPOPDNST,14.64901311,1969
SPPOPGROW,70.4,1969
ENURBLCTY,23.58490566,1969
ENURBLCTYURZS,77.19298246,1969
SPPOPTOTLFEZS,50,1969
SEPRMDURS,100,1969
SEPRMAGES,1,1969
SPRURTOTL,11.67883212,1969
SPRURTOTLZS,33.33333333,1969
SESECDURS,1,1969
SESECAGES,100,1969
AGSRFTOTLK2,1,1969
SPDYNTO65FEZS,19.01408451,1969
SPDYNTO65MAZS,15.56420233,1969
ITMLTMAIN,0.530867369,1969
ITMLTMAINP2,0.118798043,1969
SPURBTOTL,17.91666667,1969
SPURBTOTLINZS,66.66666667,1969
SPURBGROW,60.88328076,1969
NYADJDNGYCD,0.290603561,1970
NYADJDMINCD,0.040149633,1970
SPADOTFRT,85.56304139,1970
SPPOPDPND,99.63369963,1970
SPPOPDPNDOL,38.94736842,1970
SPPOPDPNDYG,99.29328622,1970
SPDYNCBRTIN,71.8487395,1970
AGPRDCROPXD,15.27472886,1970
SPDYNCDRTIN,71.34004648,1970
SPDYNTFRTIN,81.74603175,1970
AGPRDFOODXD,10.41232697,1970
AGLNDTOTLK2,1,1970
SPDYNLE00FEIN,19.32773109,1970
SPDYNLE00MAIN,16.66666667,1970
SPDYNLE00IN,18.06167401,1970
AGPRDLVSKXD,4.334683484,1970
ITCELSETS,0,1970
ITCELSETSP2,0,1970
