indicator,value,year
SPRURTOTLZS,92.20779221,1963
SESECDURS,1,1963
SESECAGES,1,1963
AGSRFTOTLK2,0,1963
SPDYNTO65FEZS,8.127208481,1963
SPDYNTO65MAZS,10.23255814,1963
ITMLTMAIN,0.26918536,1963
ITMLTMAINP2,0.318941305,1963
SPURBTOTL,4.122938531,1963
SPURBTOTLINZS,7.792207792,1963
SPURBGROW,95.9798995,1963
NYADJDNGYCD,0.014936951,1964
NYADJDMINCD,0.052892883,1964
SPADOTFRT,57.37704918,1964
SPPOPDPND,100,1964
SPPOPDPNDOL,10.62355658,1964
SPPOPDPNDYG,100,1964
SPDYNCBRTIN,92,1964
AGPRDCROPXD,2.190772979,1964
SPDYNCDRTIN,82.53275109,1964
SPDYNTFRTIN,94.07744875,1964
AGPRDFOODXD,2.162266603,1964
AGLNDTOTLK2,100,1964
SPDYNLE00FEIN,9.31372549,1964
SPDYNLE00MAIN,10.58823529,1964
SPDYNLE00IN,9.677419355,1964
AGPRDLVSKXD,1.678314716,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,7.407407407,1964
SPPOP0014TOZS,100,1964
SPPOP1564TOZS,0,1964
SPPOP65UPTOZS,5.263157895,1964
ENPOPDNST,7.477937005,1964
SPPOPGROW,96.26168224,1964
ENURBLCTY,7.138535995,1964
ENURBLCTYURZS,20.58823529,1964
SPPOPTOTLFEZS,0,1964
SEPRMDURS,1,1964
SEPRMAGES,1,1964
SPRURTOTL,87.70491803,1964
SPRURTOTLZS,89.61038961,1964
SESECDURS,1,1964
SESECAGES,1,1964
AGSRFTOTLK2,0,1964
SPDYNTO65FEZS,10.60070671,1964
SPDYNTO65MAZS,13.02325581,1964
ITMLTMAIN,0.368358914,1964
ITMLTMAINP2,0.428428619,1964
SPURBTOTL,5.622188906,1964
SPURBTOTLINZS,10.38961039,1964
SPURBGROW,93.2160804,1964
NYADJDNGYCD,0.021053334,1965
NYADJDMINCD,0.070938788,1965
SPADOTFRT,51.2295082,1965
SPPOPDPND,99.76303318,1965
SPPOPDPNDOL,12.47113164,1965
SPPOPDPNDYG,99.78213508,1965
SPDYNCBRTIN,88.36363636,1965
AGPRDCROPXD,6.439499582,1965
SPDYNCDRTIN,78.16593886,1965
SPDYNTFRTIN,91.11617312,1965
AGPRDFOODXD,3.918778873,1965
AGLNDTOTLK2,100,1965
SPDYNLE00FEIN,11.2745098,1965
SPDYNLE00MAIN,12.94117647,1965
SPDYNLE00IN,11.82795699,1965
AGPRDLVSKXD,2.529994377,1965
ITCELSETS,0,1965
ITCELSETSP2,0,1965
SPPOPTOTL,9.339774557,1965
SPPOP0014TOZS,100,1965
SPPOP1564TOZS,0,1965
SPPOP65UPTOZS,6.315789474,1965
ENPOPDNST,9.314772079,1965
SPPOPGROW,91.58878505,1965
ENURBLCTY,9.195402299,1965
ENURBLCTYURZS,29.41176471,1965
SPPOPTOTLFEZS,0,1965
SEPRMDURS,1,1965
SEPRMAGES,1,1965
SPRURTOTL,90.16393443,1965
SPRURTOTLZS,87.27272727,1965
SESECDURS,1,1965
SESECAGES,1,1965
AGSRFTOTLK2,0,1965
SPDYNTO65FEZS,13.07420495,1965
SPDYNTO65MAZS,16.27906977,1965
ITMLTMAIN,0.472255018,1965
ITMLTMAINP2,0.556957205,1965
SPURBTOTL,7.12143928,1965
SPURBTOTLINZS,12.72727273,1965
SPURBGROW,89.94974874,1965
NYADJDNGYCD,0.028584924,1966
NYADJDMINCD,0.091459089,1966
SPADOTFRT,44.67213115,1966
SPPOPDPND,98.81516588,1966
SPPOPDPNDOL,13.85681293,1966
SPPOPDPNDYG,98.91067538,1966
SPDYNCBRTIN,84.72727273,1966
AGPRDCROPXD,4.226621143,1966
SPDYNCDRTIN,73.79912664,1966
SPDYNTFRTIN,87.4715262,1966
AGPRDFOODXD,3.479650805,1966
AGLNDTOTLK2,100,1966
SPDYNLE00FEIN,13.23529412,1966
SPDYNLE00MAIN,15.29411765,1966
SPDYNLE00IN,13.97849462,1966
AGPRDLVSKXD,2.62462545,1966
ITCELSETS,0,1966
ITCELSETSP2,0,1966
SPPOPTOTL,11.19162641,1966
SPPOP0014TOZS,98.93048128,1966
SPPOP1564TOZS,0.662251656,1966
SPPOP65UPTOZS,7.368421053,1966
ENPOPDNST,11.55979273,1966
SPPOPGROW,86.91588785,1966
ENURBLCTY,11.49425287,1966
ENURBLCTYURZS,35.29411765,1966
